2023-02-21 10:31:13,080 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 10:31:13,459 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:55) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@60e6e266, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@513d0efe, org.springframework.security.web.context.SecurityContextPersistenceFilter@35503e2, org.springframework.security.web.header.HeaderWriterFilter@4240b26f, org.springframework.security.web.authentication.logout.LogoutFilter@4be7df7c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@76dd2117, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7df27627, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@68a8d216, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@71654dbf, org.springframework.security.web.session.SessionManagementFilter@7d0e3e4f, org.springframework.security.web.access.ExceptionTranslationFilter@77227d62, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4a5161d4]
2023-02-21 10:31:13,465 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 10:31:13,465 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/css/**']
2023-02-21 10:31:13,466 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 10:31:13,466 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/js/**']
2023-02-21 10:31:13,466 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/img/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 10:31:13,466 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/img/**']
2023-02-21 10:31:13,466 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/font/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 10:31:13,466 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/font/**']
2023-02-21 10:31:13,515 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration(openEntityManagerInViewInterceptor:219) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-02-21 10:31:13,867 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer(startServer:59) - LiveReload server is running on port 35729
2023-02-21 10:31:13,897 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:220) - Tomcat started on port(s): 8080 (http) with context path ''
2023-02-21 10:31:15,198 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:525) - Initializing Servlet 'dispatcherServlet'
2023-02-21 10:31:15,200 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:547) - Completed initialization in 1 ms
2023-02-21 10:32:37,679 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(destroy:651) - Closing JPA EntityManagerFactory for persistence unit 'default'
